"No.","Ticker","Company","Sector","Industry","Index","Market Cap","P/E","Forward P/E","PEG","P/S","P/B","P/Cash","P/Free Cash Flow","Book/sh","Cash/sh","Dividend","Dividend Yield","Payout Ratio","EPS (ttm)","EPS growth this year","Sales growth past 5 years","Sales growth quarter over quarter","EPS growth quarter over quarter","Sales","Income","Shares Outstanding","Shares Float","Float Short","Short Ratio","Short Interest","Return on Assets","Return on Equity","Return on Investment","Current Ratio","LT Debt/Equity","Total Debt/Equity","Gross Margin","Operating Margin","Profit Margin","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (YTD)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","52-Week High","Relative Volume","Volume","Price","Change"
11,"AAXJ","iShares MSCI All Country Asia ex Japan ETF","Financial","Exchange Traded Fund","-",,,,,,,,,,,0.99,1.50%,,,,,,,,,,,,,,,,,,,,,,,0.27%,4.19%,-3.46%,2.02%,-0.07%,-0.81%,1.10%,-9.56%,2.02,1255078,66.10,1.83%
12,"AB","AllianceBernstein Holding L.P.","Financial","Asset Management","-",3950.13,14.12,10.92,,13.74,1.90,,4937.66,18.06,0.00,3.61,10.51%,121.30%,2.43,-30.50%,5.60%,-19.10%,-31.40%,287.50,255.70,113.55,96.28,0.65%,2.18,0.62,13.50%,14.30%,13.20%,,0.00,0.00,,100.00%,88.90%,-11.20%,-16.10%,-16.35%,-0.09%,0.61%,-1.17%,-9.04%,-24.94%,0.75,213636,34.34,2.78%
13,"ABB","ABB Ltd","Industrials","Electrical Equipment & Parts","-",71600.01,23.76,19.44,1.63,2.36,5.65,14.31,,6.57,2.60,0.92,2.47%,56.50%,1.56,-42.50%,3.20%,12.80%,76.40%,30340.00,2944.00,1861.00,1729.32,0.13%,1.36,2.32,7.40%,23.70%,12.60%,1.20,0.43,0.71,33.50%,12.10%,9.60%,10.87%,21.78%,30.74%,21.90%,1.79%,6.64%,18.89%,-1.67%,0.00,0,37.13,0.00%
14,"ABCB","Ameris Bancorp","Financial","Banks - Regional","-",2320.89,6.93,7.14,0.87,2.31,0.69,1.07,2.98,47.03,30.36,0.60,1.85%,12.80%,4.69,-7.60%,24.90%,61.20%,-25.70%,1006.20,325.30,69.17,65.65,3.23%,3.95,2.12,1.30%,10.30%,17.30%,,0.13,0.13,,73.10%,32.30%,-32.41%,-38.28%,-26.33%,-31.04%,5.26%,-2.79%,-27.23%,-40.06%,0.34,180335,32.51,0.93%
15,"ABCM","Abcam plc","Healthcare","Biotechnology","-",3379.65,,,,7.53,4.15,30.61,,3.94,0.53,,,,-0.05,-148.90%,,19.70%,-207.00%,448.80,-10.50,228.80,214.54,0.28%,0.80,0.60,-0.90%,-1.20%,-0.30%,1.30,0.13,0.31,74.80%,-2.80%,-2.40%,13.93%,1.74%,14.73%,5.14%,-4.69%,6.67%,6.30%,-10.99%,1.63,1238035,16.36,0.31%
16,"ABEQ","Absolute Select Value ETF","Financial","Exchange Traded Fund","-",,,,,,,,,,,0.33,1.20%,,,,,,,,,,,,,,,,,,,,,,,-0.09%,-1.68%,-3.49%,-0.10%,-2.63%,-1.65%,0.58%,-4.92%,0.95,11333,27.80,0.11%
17,"ABM","ABM Industries Incorporated","Industrials","Specialty Business Services","-",2994.90,15.53,11.43,4.06,0.38,1.70,34.07,,26.19,1.31,0.88,1.97%,27.00%,2.87,83.80%,7.40%,2.80%,-48.20%,7861.60,192.90,66.30,65.41,2.25%,4.69,1.47,4.10%,11.30%,9.00%,1.30,0.69,0.80,12.90%,4.00%,2.50%,-8.97%,-1.46%,-5.46%,0.50%,3.74%,3.16%,0.36%,-11.55%,1.61,505130,44.64,3.62%
18,"ABR","Arbor Realty Trust, Inc.","Real Estate","REIT - Mortgage","-",2384.79,8.57,6.93,1.07,1.76,0.96,3.08,,13.18,4.11,1.68,13.29%,88.80%,1.48,-29.70%,27.70%,77.70%,13.60%,1352.10,305.10,181.12,167.69,18.60%,6.61,31.19,1.80%,13.50%,2.10%,,5.47,5.47,48.60%,27.50%,22.60%,-16.46%,-12.47%,-21.54%,-4.17%,4.58%,10.75%,-6.07%,-24.63%,0.62,2906295,12.64,3.27%
19,"ABST","Absolute Software Corporation","Technology","Software - Application","-",804.50,,,,2.77,,11.87,23.94,-0.30,0.96,,,,-0.74,-750.10%,16.70%,13.10%,,290.60,-38.20,52.80,52.19,0.73%,0.44,0.38,,,-1.20%,0.60,,,81.50%,,,31.49%,11.76%,31.34%,9.20%,13.52%,29.62%,13.07%,-9.42%,0.51,443886,11.40,0.18%
20,"AC","Associated Capital Group, Inc.","Financial","Asset Management","-",851.91,,,,56.42,0.97,2.15,10.35,41.24,18.67,0.20,0.50%,,-0.68,-183.00%,-10.80%,-3.80%,210.10%,15.10,-15.00,21.97,2.90,1.20%,4.00,0.03,-1.50%,-1.70%,0.40%,,0.00,0.00,,-86.70%,-99.00%,8.47%,-2.10%,4.95%,-4.52%,6.40%,8.24%,3.61%,-9.91%,0.86,7442,40.09,0.86%
21,"ACA","Arcosa, Inc.","Industrials","Engineering & Construction","-",3283.14,11.65,21.19,2.84,1.46,1.45,22.00,303.99,46.44,3.06,0.20,0.30%,3.40%,5.77,254.50%,8.90%,2.50%,175.70%,2256.20,280.30,48.30,47.84,0.95%,1.70,0.45,8.30%,13.30%,10.20%,2.40,0.24,0.25,19.20%,17.30%,12.40%,7.72%,14.23%,29.50%,23.76%,-1.58%,5.65%,11.78%,-5.28%,0.80,213638,67.25,0.18%
22,"ACAD","ACADIA Pharmaceuticals Inc.","Healthcare","Biotechnology","-",3845.86,,,,7.39,10.73,9.55,,2.31,2.60,,,,-0.90,-27.70%,32.90%,2.60%,62.20%,520.20,-145.90,162.26,161.70,6.17%,5.96,9.97,-23.70%,-35.70%,-56.50%,2.20,0.00,0.00,98.30%,-31.50%,-28.10%,27.73%,65.20%,55.07%,55.65%,9.84%,20.94%,38.16%,-4.84%,0.72,1208281,24.78,1.35%
23,"ACCD","Accolade, Inc.","Healthcare","Health Information Services","-",831.86,,,,2.29,1.69,,,6.82,,,,,-6.56,-11.90%,,8.90%,-277.80%,363.10,-459.70,71.23,68.97,5.31%,5.73,3.66,-39.40%,-67.40%,-10.60%,3.10,0.58,0.58,45.20%,,,3.88%,33.80%,95.92%,47.88%,1.02%,-11.21%,3.43%,-32.26%,0.83,531228,11.52,2.77%
24,"ACDC","ProFrac Holding Corp.","Energy","Oil & Gas Equipment & Services","-",1816.13,4.93,3.50,,0.62,5.33,25.98,8.77,2.20,0.45,,,0.00%,2.38,,,146.90%,-7.20%,2932.30,113.50,54.50,22.66,15.81%,4.16,3.58,4.40%,-13.60%,-148.90%,1.10,9.25,10.41,40.40%,16.40%,3.90%,-39.43%,-52.76%,-34.67%,-53.49%,7.03%,-1.18%,-37.26%,-56.59%,1.20,1029724,11.72,-0.51%
25,"ACES","ALPS Clean Energy ETF","Financial","Exchange Traded Fund","-",,,,,,,,,,,0.49,1.14%,,,,,,,,,,,,,,,,,,,,,,,-10.49%,-22.25%,-13.31%,-5.50%,1.64%,-1.01%,-16.24%,-36.71%,0.59,46496,42.99,0.87%
26,"ACHC","Acadia Healthcare Company, Inc.","Healthcare","Medical Care Facilities","-",6332.79,22.80,18.88,2.25,2.35,2.20,99.26,175.42,31.52,0.70,,,0.00%,3.04,33.20%,-1.60%,14.20%,8.10%,2698.00,278.30,90.10,89.57,4.35%,5.92,3.89,5.60%,10.10%,8.30%,1.40,0.49,0.50,,16.80%,10.30%,-13.82%,-19.86%,-3.71%,-15.73%,-1.19%,-3.13%,-12.15%,-22.79%,0.70,462461,69.37,2.23%
27,"ACI","Albertsons Companies, Inc.","Consumer Defensive","Grocery Stores","-",11536.36,8.92,7.01,1.12,0.15,6.74,25.31,10.90,2.98,0.79,0.48,2.39%,10.60%,2.25,-16.10%,5.30%,5.10%,-27.20%,77649.70,1210.30,539.80,313.67,5.05%,3.48,15.84,4.30%,44.50%,17.90%,0.70,4.86,5.53,28.00%,3.00%,1.60%,-0.79%,-1.76%,-9.90%,-3.18%,-1.82%,-1.96%,-2.69%,-14.54%,0.78,3558152,20.08,0.75%
28,"ACIW","ACI Worldwide, Inc.","Technology","Software - Infrastructure","-",2576.35,28.90,16.13,2.41,1.86,2.18,18.09,22.50,10.80,1.30,,,0.00%,0.82,15.60%,6.80%,-10.30%,-323.90%,1388.50,94.40,108.16,107.35,2.52%,3.65,2.71,3.00%,7.90%,7.80%,1.40,0.87,0.93,49.00%,10.90%,6.80%,-9.55%,14.24%,-9.03%,2.52%,-3.35%,-6.62%,-1.91%,-20.23%,0.43,319575,23.58,2.45%
29,"ACLX","Arcellx, Inc.","Healthcare","Biotechnology","-",2033.67,,,,113.61,6.56,3.81,18.08,6.49,11.17,,,,-4.29,-177.80%,,,19.80%,17.90,-190.00,46.77,39.95,15.19%,11.78,6.07,-46.10%,-71.10%,,3.40,0.05,0.17,,,,51.78%,103.88%,341.80%,37.48%,-1.09%,16.71%,55.26%,-12.93%,0.60,310148,42.59,-0.54%
30,"ACM","AECOM","Industrials","Engineering & Construction","-",10783.01,25.41,17.60,1.81,0.80,4.13,10.04,26.54,18.67,7.67,0.72,0.93%,23.60%,3.03,38.50%,-6.30%,8.60%,144.90%,13540.30,428.00,138.93,137.72,1.27%,1.83,1.75,3.30%,14.80%,10.90%,1.10,0.83,0.85,6.50%,5.30%,2.70%,-11.19%,-8.14%,12.37%,-9.27%,-3.86%,-5.44%,-4.20%,-16.38%,0.91,869987,77.06,0.52%
31,"ACMR","ACM Research, Inc.","Technology","Semiconductor Equipment & Materials","-",642.60,13.39,10.74,0.31,1.53,0.95,1.90,,11.33,5.64,,,0.00%,0.80,4.00%,60.50%,14.10%,-22.50%,420.90,52.20,59.57,44.82,4.96%,3.57,2.23,3.80%,6.50%,5.60%,2.40,0.03,0.11,48.40%,14.60%,10.20%,2.10%,23.53%,-19.05%,38.91%,11.49%,2.77%,-3.83%,-47.08%,0.81,501781,10.71,8.40%
32,"ACNB","ACNB Corporation","Financial","Banks - Regional","-",253.89,6.89,,,2.73,1.02,2.18,6.99,30.06,14.09,1.12,3.65%,24.20%,4.45,29.90%,10.90%,32.00%,39.30%,92.90,38.20,8.51,8.16,0.88%,6.64,0.07,1.50%,15.60%,30.30%,,0.00,0.00,,95.90%,41.10%,-18.33%,-21.14%,-4.63%,-22.88%,5.70%,0.37%,-11.72%,-25.63%,0.45,4836,30.70,-0.23%
33,"ACRO","Acropolis Infrastructure Acquisition Corp.","Financial","Shell Companies","-",439.87,2044.00,,,,1.31,4398.69,,7.78,0.00,,,0.00%,0.01,115.40%,,,399.00%,,0.20,43.12,34.50,0.01%,0.03,0.00,1.30%,1.40%,,0.10,0.00,0.01,,,,0.79%,4.02%,5.47%,2.71%,0.46%,0.74%,2.92%,-0.87%,0.13,22325,10.22,0.10%
34,"ACRV","Acrivon Therapeutics, Inc.","Healthcare","Biotechnology","-",283.25,,,,,1.71,2.36,,7.32,5.33,,,,-1.59,-178.70%,,,-14.10%,,,21.92,11.24,3.62%,5.43,0.41,,,,21.80,0.00,0.00,,,,-33.95%,0.40%,,8.94%,-2.51%,1.86%,-12.57%,-50.73%,0.18,13290,12.55,0.40%
35,"ACT","Enact Holdings, Inc.","Financial","Insurance - Specialty","-",4062.03,5.65,7.17,28.56,3.67,0.94,6.53,15.14,26.45,3.79,0.64,2.58%,12.70%,4.38,28.50%,,4.20%,6.80%,1106.40,715.50,162.44,29.82,3.99%,6.34,1.19,12.40%,17.20%,15.60%,,0.17,0.17,,87.20%,64.70%,1.93%,0.57%,7.38%,2.69%,3.37%,5.29%,3.95%,-8.70%,1.59,298890,24.77,2.23%
36,"ACV","Virtus Diversified Income & Convertible Fund","Financial","Asset Management","-",191.03,,,,,,,,,,2.16,11.72%,,-3.67,,,,,,,10.37,10.36,0.08%,0.21,0.01,,,,,,,,,,-9.93%,-4.84%,-8.55%,0.21%,-2.93%,-2.90%,-7.32%,-23.18%,0.93,36459,18.43,1.04%
37,"ACVA","ACV Auctions Inc.","Consumer Cyclical","Auto & Truck Dealerships","-",2664.17,,,,6.08,5.58,4.23,,3.03,4.00,,,,-0.58,-4.30%,,16.00%,39.30%,438.10,-90.90,158.69,124.72,6.62%,6.57,8.26,-9.60%,-18.40%,-18.90%,2.00,0.20,0.20,46.20%,-22.40%,-20.70%,38.72%,117.35%,111.11%,105.97%,9.70%,24.50%,65.10%,-6.16%,0.79,993891,16.91,-0.35%
38,"ACWI","iShares MSCI ACWI ETF","Financial","Exchange Traded Fund","-",,,,,,,,,,,1.59,1.72%,,,,,,,,,,,,,,,,,,,,,,,4.49%,5.03%,3.83%,9.17%,0.68%,1.74%,5.81%,-0.77%,0.70,2216523,92.66,1.31%
39,"ACWX","iShares MSCI ACWI ex U.S. ETF","Financial","Exchange Traded Fund","-",,,,,,,,,,,1.31,2.67%,,,,,,,,,,,,,,,,,,,,,,,2.39%,6.10%,0.93%,7.36%,-1.08%,-0.11%,5.56%,-2.71%,0.39,552355,48.85,1.22%
40,"ADC","Agree Realty Corporation","Real Estate","REIT - Retail","-",6031.41,36.41,34.48,18.13,14.03,1.28,216.96,,50.30,0.30,2.92,4.51%,156.70%,1.77,2.40%,31.00%,27.50%,-0.80%,429.80,144.60,88.55,87.15,4.52%,5.49,3.94,2.30%,3.60%,3.30%,,0.44,0.44,88.20%,49.50%,33.60%,-9.49%,-8.14%,-8.94%,-8.94%,-2.88%,-3.42%,-8.10%,-19.70%,0.59,425639,64.59,0.62%
41,"ADER","26 Capital Acquisition Corp.","Financial","Shell Companies","-",109.60,48.54,,,,,136.99,,-2.93,0.08,,,0.00%,0.22,5.10%,,,,,7.30,10.31,3.43,0.20%,0.92,0.01,,,,0.10,,,,,,4.63%,7.81%,8.47%,4.88%,-0.48%,1.17%,5.23%,-3.28%,0.01,61,10.63,-0.19%
42,"ADM","Archer-Daniels-Midland Company","Consumer Defensive","Farm Products","S&P 500",39373.11,9.13,11.01,,0.39,1.61,43.80,54.38,45.20,1.66,1.80,2.47%,20.60%,7.97,61.30%,10.80%,1.80%,14.40%,101978.00,4456.00,550.00,542.29,0.97%,1.88,5.28,7.50%,18.30%,9.80%,1.50,0.31,0.42,7.60%,4.20%,4.40%,-10.42%,-24.85%,-18.07%,-21.67%,-2.72%,-5.97%,-14.49%,-26.00%,1.02,2858283,72.73,-1.34%
43,"ADOC","Edoc Acquisition Corp.","Financial","Shell Companies","-",39.86,,,,,9.93,398.58,,1.10,0.03,,,,-1.43,,,,85.90%,,-7.70,3.66,0.60,1.27%,6.73,0.01,-17.90%,-22.50%,,0.00,0.00,0.72,,,,4.60%,6.74%,8.55%,4.00%,0.89%,1.79%,5.19%,-0.64%,0.17,199,10.92,0.18%
44,"ADPV","Adaptiv Select ETF","Financial","Exchange Traded Fund","-",,,,,,,,,,,0.06,0.27%,,,,,,,,,,,,,,,,,,,,,,,-8.75%,-8.64%,,-8.77%,-0.34%,-0.30%,-5.82%,-13.89%,0.14,1634,22.90,1.11%
45,"ADUS","Addus HomeCare Corporation","Healthcare","Medical Care Facilities","-",1429.84,28.69,19.38,1.91,1.46,2.18,19.45,13.01,40.69,4.57,,,0.00%,3.10,1.30%,17.40%,11.00%,47.60%,976.10,50.20,15.95,15.79,1.80%,1.83,0.28,5.30%,8.00%,7.10%,1.70,0.17,0.00,31.80%,7.60%,5.10%,-16.16%,-18.22%,3.33%,-10.73%,3.71%,-9.89%,-12.02%,-22.77%,0.87,135523,88.81,-0.03%
46,"ADX","Adams Diversified Equity Fund, Inc.","Financial","Closed-End Fund - Equity","-",1912.43,,,,54.83,0.91,,,17.38,,0.19,1.20%,,-3.99,,,4.90%,-82.50%,34.88,,120.81,111.13,0.59%,3.67,0.66,,,,,,,,,,3.26%,3.73%,5.39%,9.15%,1.31%,2.13%,4.80%,-3.51%,0.49,86980,15.83,1.21%
47,"AEE","Ameren Corporation","Utilities","Utilities - Regulated Electric","S&P 500",21019.58,19.37,17.21,2.81,2.58,2.00,2101.96,,40.45,0.04,2.52,3.12%,57.30%,4.17,7.70%,5.20%,9.70%,3.10%,8140.00,1086.00,262.20,257.49,1.73%,3.51,4.46,2.90%,10.50%,5.20%,0.70,1.34,1.46,70.10%,18.90%,13.30%,-3.73%,-8.36%,-15.42%,-9.17%,-6.61%,-7.22%,-7.00%,-17.18%,0.83,1061163,80.77,-0.22%
48,"AEHR","Aehr Test Systems","Technology","Semiconductor Equipment & Materials","-",898.28,66.59,32.12,3.33,14.26,13.32,20.99,299.43,2.46,1.56,,,0.00%,0.49,493.80%,21.90%,12.40%,80.90%,63.00,14.20,27.89,25.27,19.01%,3.50,4.80,20.60%,25.00%,18.40%,8.20,0.00,0.00,50.40%,21.60%,22.60%,2.06%,24.00%,344.50%,62.99%,14.73%,8.91%,31.09%,-19.49%,0.58,795181,32.76,4.76%
49,"AEL","American Equity Investment Life Holding Company","Financial","Insurance - Life","-",3155.08,8.34,6.09,0.31,1.81,1.28,1.14,1.14,31.23,35.30,0.36,0.90%,7.40%,4.80,182.40%,-18.40%,348.30%,-129.30%,1746.60,455.10,83.42,76.92,5.01%,6.04,3.86,0.60%,15.10%,-34.00%,,0.33,0.33,,6.90%,26.10%,-3.65%,1.78%,0.65%,-12.12%,2.48%,6.95%,-0.30%,-17.11%,0.51,327313,40.09,0.70%
50,"AEM","Agnico Eagle Mines Limited","Basic Materials","Gold","-",24964.80,10.02,23.06,,4.21,1.21,33.11,,42.19,1.54,1.60,3.14%,31.30%,5.09,-33.40%,20.70%,13.90%,1425.80%,5925.10,2377.40,468.97,454.02,1.89%,2.86,8.57,9.50%,13.90%,4.70%,2.30,0.12,0.13,56.20%,26.20%,40.10%,11.04%,2.41%,-6.93%,-1.88%,-9.50%,-7.43%,3.23%,-16.58%,0.68,2030569,51.01,-0.20%
51,"AEO","American Eagle Outfitters, Inc.","Consumer Cyclical","Apparel Retail","-",2335.97,17.95,8.72,1.18,0.47,1.29,13.72,29.16,8.36,0.78,0.40,3.72%,68.20%,0.60,-70.00%,5.60%,-0.80%,11.90%,4989.80,125.10,191.20,175.68,7.06%,2.83,12.41,3.50%,8.60%,12.00%,1.40,0.01,0.01,35.00%,5.00%,2.50%,-26.37%,-31.96%,-20.72%,-22.99%,-15.22%,-17.90%,-18.53%,-37.10%,2.06,9030071,10.75,1.13%
52,"AEP","American Electric Power Company, Inc.","Utilities","Utilities - Regulated Electric","NDX, S&P 500",42380.96,21.29,14.64,3.98,2.15,1.78,78.76,,46.28,1.04,3.32,4.04%,83.20%,3.86,-9.40%,4.90%,2.10%,-45.30%,19737.80,1989.50,514.18,513.70,1.26%,2.38,6.48,2.20%,8.30%,5.40%,0.60,1.52,1.80,63.00%,16.20%,10.10%,-8.68%,-13.54%,-19.74%,-13.38%,-7.93%,-9.45%,-11.58%,-22.11%,1.24,3387057,82.25,-0.30%
53,"AES","The AES Corporation","Utilities","Utilities - Diversified","S&P 500",13331.58,,10.33,,1.03,9.29,5.89,,2.14,3.37,0.66,3.34%,,-1.14,-31.80%,3.70%,13.60%,31.10%,13004.00,-510.00,712.00,665.70,2.52%,3.31,16.76,-1.30%,-26.00%,2.20%,1.10,14.83,16.29,20.10%,6.60%,-3.90%,-20.14%,-30.23%,-7.28%,-30.91%,-8.72%,-13.42%,-21.86%,-33.52%,0.93,4689886,19.87,-0.40%
54,"AESC","The AES Corporation","Utilities","Utilities - Diversified","-",13399.11,,,,1.03,34.38,,,2.28,,6.88,8.78%,,-0.22,,,13.60%,31.30%,13004.00,,10.00,10.00,0.42%,0.91,0.04,,,,,,,,,,-14.25%,-22.91%,-10.37%,-23.26%,-7.22%,-10.31%,-17.10%,-25.06%,0.20,9259,78.28,-0.55%
55,"AESI","Atlas Energy Solutions Inc.","Energy","Oil & Gas Equipment & Services","-",921.53,4.70,4.65,,1.60,16.45,2.61,10.02,0.99,6.23,0.60,3.68%,0.00%,3.46,,,156.10%,-91.70%,576.30,197.90,57.15,17.54,8.91%,2.80,1.56,24.70%,54.80%,33.90%,4.50,2.41,2.94,53.70%,48.90%,34.30%,,,,-3.05%,-5.85%,-5.37%,-4.90%,-13.28%,0.42,234495,16.29,-4.06%
56,"AFB","AllianceBernstein National Municipal Income Fund, Inc.","Financial","Closed-End Fund - Debt","-",294.06,,,,11.93,0.91,,,11.29,,0.39,3.83%,,-3.39,,,-1.70%,,24.66,,28.74,28.74,0.04%,0.19,0.01,,,,,,,,,,-2.39%,-5.06%,-11.89%,-2.39%,-2.95%,-3.76%,-4.76%,-17.96%,0.88,61060,10.23,0.20%
57,"AFBI","Affinity Bancshares, Inc.","Financial","Banks - Regional","-",79.44,11.39,,,2.30,0.67,0.51,17.65,17.93,23.75,,,0.00%,1.05,-3.20%,21.60%,10.80%,-0.60%,34.50,7.10,6.60,4.87,0.13%,0.57,0.01,0.90%,6.10%,22.90%,,0.00,0.00,,82.70%,20.50%,-24.00%,-16.94%,-18.48%,-20.53%,-5.12%,-13.20%,-17.55%,-27.27%,0.42,4472,12.00,1.27%
58,"AFCG","AFC Gamma, Inc.","Real Estate","REIT - Specialty","-",236.31,6.50,4.95,,3.17,0.69,2.93,,16.64,3.94,2.24,19.39%,125.30%,1.78,18.40%,,-3.40%,-5.70%,74.60,35.80,20.30,16.28,3.92%,3.06,0.64,7.50%,10.50%,11.60%,,0.26,0.26,79.00%,71.20%,48.00%,-24.46%,-31.29%,-33.96%,-26.57%,3.57%,-0.59%,-23.81%,-39.21%,0.45,94289,11.55,1.14%
59,"AFK","VanEck Africa Index ETF","Financial","Exchange Traded Fund","-",,,,,,,,,,,0.58,3.88%,,,,,,,,,,,,,,,,,,,,,,,-8.23%,-13.87%,-20.68%,-7.60%,-2.90%,-4.65%,-8.64%,-23.90%,0.53,9026,14.84,0.82%
60,"AFL","Aflac Incorporated","Financial","Insurance - Life","S&P 500",38984.20,9.33,10.59,8.25,2.05,1.99,10.23,16.59,32.37,6.30,1.68,2.61%,23.30%,6.92,3.10%,-2.10%,-7.20%,20.70%,19055.00,4357.00,611.21,563.18,1.97%,4.51,11.10,3.30%,19.30%,16.10%,,0.37,0.37,,25.60%,22.90%,-5.48%,-10.43%,11.57%,-10.36%,-3.62%,-1.83%,-2.51%,-12.87%,0.87,2149874,64.49,-0.19%
61,"AFLG","First Trust Active Factor Large Cap ETF","Financial","Exchange Traded Fund","-",,,,,,,,,,,0.36,1.49%,,,,,,,,,,,,,,,,,,,,,,,-2.61%,2.75%,-4.54%,4.00%,0.79%,1.27%,1.64%,-5.01%,0.03,16,24.05,1.81%
62,"AFRI","Forafric Global PLC","Consumer Defensive","Farm Products","-",277.66,,,,0.96,7.20,,,1.42,,,,,-0.72,,,-11.50%,,289.77,,26.88,5.42,0.21%,1.05,0.01,,,,,,,,,,-9.17%,-9.73%,-0.68%,-8.11%,-5.86%,-7.37%,-7.60%,-37.69%,1.70,18477,10.20,-2.86%
